,,,SOC,SEI,Power,T,,delta SEI
77,24346,25426,80,1.33E-08,0.68421,23,1.3333E-08,3.3005338927E-11
78,24346,25426,80,1.33E-08,0.78947,23,1.3333E-08,3.3005502561E-11
79,24346,25426,80,1.33E-08,0.89474,23,1.3333E-08,3.3005672260E-11
80,24346,25426,80,1.33E-08,1,23,1.3333E-08,3.3005848241E-11
81,24346,25426,80,1.44E-08,-1,23,1.4444E-08,4.3999999700E-11
82,24346,25426,80,1.44E-08,-0.89474,23,1.4444E-08,4.4000000174E-11
83,24346,25426,80,1.44E-08,-0.78947,23,1.4444E-08,4.4000000198E-11
84,24346,25426,80,1.44E-08,-0.68421,23,1.4444E-08,4.4000000050E-11
85,24346,25426,80,1.44E-08,-0.57895,23,1.4444E-08,4.3999999431E-11
86,24346,25426,80,1.44E-08,-0.47368,23,1.4444E-08,4.4000000123E-11
87,24346,25426,80,1.44E-08,-0.36842,23,1.4444E-08,4.4000000056E-11
88,24346,25426,80,1.44E-08,-0.26316,23,1.4444E-08,4.4000000307E-11
89,24346,25426,80,1.44E-08,-0.15789,23,1.4444E-08,4.3999999212E-11
90,24346,25426,80,1.44E-08,-0.052632,23,1.4444E-08,4.4000000034E-11
91,24346,25426,80,1.44E-08,0.052632,23,1.4444E-08,4.4004480410E-11
92,24346,25426,80,1.44E-08,0.15789,23,1.4444E-08,4.4004605311E-11
93,24346,25426,80,1.44E-08,0.26316,23,1.4444E-08,4.4004735103E-11
94,24346,25426,80,1.44E-08,0.36842,23,1.4444E-08,4.4004869585E-11
95,24346,25426,80,1.44E-08,0.47368,23,1.4444E-08,4.4005008497E-11
96,24346,25426,80,1.44E-08,0.57895,23,1.4444E-08,4.4005154331E-11
97,24346,25426,80,1.44E-08,0.68421,23,1.4444E-08,4.4005304211E-11
98,24346,25426,80,1.44E-08,0.78947,23,1.4444E-08,4.4005460848E-11
99,24346,25426,80,1.44E-08,0.89474,23,1.4444E-08,4.4005622301E-11
100,24346,25426,80,1.44E-08,1,23,1.4444E-08,4.4005790587E-11
101,24346,25426,80,1.56E-08,-1,23,1.5556E-08,-4.4000000134E-11
102,24346,25426,80,1.56E-08,-0.89474,23,,#VALUE!
103,24346,25426,80,1.56E-08,-0.78947,23,1.5556E-08,-4.3999999976E-11
104,24346,25426,80,1.56E-08,-0.68421,23,1.5556E-08,-4.3999999931E-11
105,24346,25426,80,1.56E-08,-0.57895,23,1.5556E-08,-4.4000000389E-11
106,24346,25426,80,1.56E-08,-0.47368,23,1.5556E-08,-4.4000000649E-11
107,24346,25426,80,1.56E-08,-0.36842,23,1.5556E-08,-4.4000000171E-11
108,24346,25426,80,1.56E-08,-0.26316,23,1.5556E-08,-4.4000000981E-11
109,24346,25426,80,1.56E-08,-0.15789,23,1.5556E-08,-4.3999999151E-11
110,24346,25426,80,1.56E-08,-0.052632,23,1.5556E-08,-4.3999999968E-11
111,24346,25426,80,1.56E-08,0.052632,23,1.5556E-08,-4.3995521486E-11
112,24346,25426,80,1.56E-08,0.15789,23,1.5556E-08,-4.3995400328E-11
113,24346,25426,80,1.56E-08,0.26316,23,1.5556E-08,-4.3995275452E-11
114,24346,25426,80,1.56E-08,0.36842,23,1.5556E-08,-4.3995144144E-11
115,24346,25426,80,1.56E-08,0.47368,23,1.5556E-08,-4.3995010289E-11
116,24346,25426,80,1.56E-08,0.57895,23,1.5556E-08,-4.3994870762E-11
117,24346,25426,80,1.56E-08,0.68421,23,1.5556E-08,-4.3994725659E-11
118,24346,25426,80,1.56E-08,0.78947,23,1.5556E-08,-4.3994575480E-11
119,24346,25426,80,1.56E-08,0.89474,23,1.5556E-08,-4.3994421056E-11
120,24346,25426,80,1.56E-08,1,23,1.5556E-08,-4.3994260294E-11
121,24346,25426,80,1.67E-08,-1,23,1.6667E-08,-3.2999999551E-11
122,24346,25426,80,1.67E-08,-0.89474,23,1.6667E-08,-3.3000000098E-11
123,24346,25426,80,1.67E-08,-0.78947,23,1.6667E-08,-3.3000000434E-11
124,24346,25426,80,1.67E-08,-0.68421,23,1.6667E-08,-3.2999999714E-11
